Unnamed: 0,sentimen,tweet,tweet_no_stopwords,stem
63,netral,jokowi menambahkan capaian pertumbuhan itu perlu disyukuri karena indonesia tetap tumbuh meski kondisi ekonomi global sedang bergejolak 2019jokowikyaimaruf nusantarastatus1105782861150314496photo1 pictwittercomy4pflstk8la,jokowi capaian pertumbuhan disyukuri indonesia tumbuh kondisi ekonomi global bergejolak 2019jokowikyaimaruf nusantarastatus1105782861150314496photo1 pictwittercomy4pflstk8la,jokowi capai tumbuh syukur indonesia tumbuh kondisi ekonomi global gejolak 2019jokowikyaimaruf nusantarastatus1105782861150314496photo1 pictwittercomy4pflstk8la
64,positif,janji tak ambil gaji jika menang pilpres prabowo bukti kita tulus termechoboxutm campaigndetikcomsocmedutm mediumoautm contentdetikcomutm sourcefacebookechobox15173787a a,janji ambil gaji menang pilpres prabowo bukti tulus termechoboxutm campaigndetikcomsocmedutm mediumoautm contentdetikcomutm sourcefacebookechobox15173787a a,janji ambil gaji menang pilpres prabowo bukti tulus termechoboxutm campaigndetikcomsocmedutm mediumoautm contentdetikcomutm sourcefacebookechobox15173787a a
65,negatif,terus lah bersuara minta keadilan 1 suara begitu berarti kpu id kerja yang benarjangan makan gaji buta jangan curang,bersuara keadilan 1 suara kpu id kerja benarjangan makan gaji buta curang,suara adil 1 suara kpu id kerja benarjangan makan gaji buta curang
66,negatif,jelas jokowi lah prabowo dan sandi pecicilan selalu pesimis tanpa jalan keluar jelas ekonomi makro dan mikro saja tak tahu,jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro,jokowi prabowo sandi pecicilan pesimis jalan ekonomi makro mikro
67,positif,saya kasih taumenterinya saja berprestasi apalagi pemimpinnya bisa dikatakan era jokowi lah dimana sejumlah menterinya banyak meraih penghargaana a pilihorangbaika pilihjelasislamnyaa pilihbajuputih,kasih taumenterinya berprestasi pemimpinnya era jokowi dimana menterinya meraih penghargaana a pilihorangbaika pilihjelasislamnyaa pilihbajuputih,kasih taumenterinya prestasi pimpin era jokowi mana menteri raih penghargaana a pilihorangbaika pilihjelasislamnyaa pilihbajuputih
68,netral,berita terbaru prabowo saya tak ingin naikkan pajak 16 persen dalam setahun telah ada di a pictwittercom8o7biqq0gn,berita terbaru prabowo naikkan pajak 16 persen setahun a pictwittercom8o7biqq0gn,berita baru prabowo naik pajak 16 persen tahun a pictwittercom8o7biqq0gn
69,positif,jokowi menjelaskan pembangunan dan merevitalisasi pasar rakyat ini menjadi dasar utama dalam pembangunan ekonomi berbasis kerakyatan dengan demikian kekuatan ekonomi indonesia bisa lebih stabil 2019jokowikyaimaruf nusantarastatus11056591380616838photo1 pictwittercomxyt9viwprja,jokowi pembangunan merevitalisasi pasar rakyat dasar utama pembangunan ekonomi berbasis kerakyatan kekuatan ekonomi indonesia stabil 2019jokowikyaimaruf nusantarastatus11056591380616838photo1 pictwittercomxyt9viwprja,jokowi bangun revitalisasi pasar rakyat dasar utama bangun ekonomi bas rakyat kuat ekonomi indonesia stabil 2019jokowikyaimaruf nusantarastatus11056591380616838photo1 pictwittercomxyt9viwprja
70,netral,saya kasih tauberbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jika sangat jauh meningkata aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,kasih tauberbagai pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jokowi meningkata aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,kasih tauberbagai capai hasil capai tumbuh ekonomi era perintah jokowi meningkata aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih
71,positif,pilihorangbaikpilihjelasislamnya pilihbajuputih presiden jokowi bangunkan spbu pertama setelag 71 tahun di kabupaten puncak jaya papua dengan harga yang semula 50ribuliter menjadi 6500liter a,pilihorangbaikpilihjelasislamnya pilihbajuputih presiden jokowi bangunkan spbu setelag 71 kabupaten puncak jaya papua harga 50ribuliter 6500liter a,pilihorangbaikpilihjelasislamnya pilihbajuputih presiden jokowi bangun spbu setelag 71 kabupaten puncak jaya papua harga 50ribuliter 6500liter a
72,positif,bersatu menangkan jokowi pilihorangbaik pilihjelasislamnya pilihbajuputih brbagai upaya telah dilakukan untuk membangun indonesia bebas korupsi dari pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan bagi masyarakat yang mengungkap korupsi,bersatu menangkan jokowi pilihorangbaik pilihjelasislamnya pilihbajuputih brbagai upaya membangun indonesia bebas korupsi pelayanan berbasis elektronik sistem pengaduan masyarakat penghargaan masyarakat mengungkap korupsi,satu menang jokowi pilihorangbaik pilihjelasislamnya pilihbajuputih brbagai upaya bangun indonesia bebas korupsi layan bas elektronik sistem adu masyarakat harga masyarakat ungkap korupsi
73,negatif,leres pakdhe salah satu aspek penting dari faktor ekonomi yang bertumbuh adalah stabilitas politik dalam negeri yang ditunjukkan dengan adanya kepastian dan keadilan dalam penegakan hukum jadi pripun kabare y duatahunnovel pakde jokowi y sa o,leres pakdhe salah aspek faktor ekonomi bertumbuh stabilitas politik negeri kepastian keadilan penegakan hukum pripun kabare y duatahunnovel pakde jokowi y sa o,les pakdhe salah aspek faktor ekonomi tumbuh stabilitas politik negeri pasti adil tega hukum pripun kabare y duatahunnovel pakde jokowi y sa o
74,negatif,demikian pak prabowo walau pendidikannya tentara tapi ayahnya seorang ekonom legendaris di indonesia ya kali deh tidak ngerti makro dan mikro makro dan mikro pelajaran semester 12 di fakultas ekonomi cmiiw ketauan jae baru belajar ekonomi kacaw,prabowo pendidikannya tentara ayahnya ekonom legendaris indonesia ya kali deh tidak ngerti makro mikro makro mikro pelajaran semester 12 fakultas ekonomi cmiiw ketauan jae belajar ekonomi kacaw,prabowo didik tentara ayah ekonom legendaris indonesia ya kali deh tidak ngerti makro mikro makro mikro ajar semester 12 fakultas ekonomi cmiiw tau jae ajar ekonomi kacaw
75,netral,jangan terlalu bangga dengan jalan jika ekonomi jatuh terus nengara menag buka melihat jalanya yang megah seharusnya hasil bumi laut yang melimpah ruah terlebih dahulu baru idonesia maju menjadi pemenang,bangga jalan ekonomi jatuh nengara menag buka jalanya megah hasil bumi laut melimpah ruah idonesia maju pemenang,bangga jalan ekonomi jatuh nengara menag buka jala megah hasil bumi laut limpah ruah idonesia maju menang
76,netral,pilihorangbaik pilihjelasislamnya pilihbajuputih jokowi bangunkan spbu pertama setelag 71 tahun di kabupaten puncak jaya papua dengan harga yang semula 50ribuliter menjadi 6500liter a,pilihorangbaik pilihjelasislamnya pilihbajuputih jokowi bangunkan spbu setelag 71 kabupaten puncak jaya papua harga 50ribuliter 6500liter a,pilihorangbaik pilihjelasislamnya pilihbajuputih jokowi bangun spbu setelag 71 kabupaten puncak jaya papua harga 50ribuliter 6500liter a
77,netral,katanya jas itu harga mahal dan pakaian orang2 eropa dan amerika,jas harga mahal pakaian orang2 eropa amerika,jas harga mahal pakai orang2 eropa amerika
78,netral,prabowo janjikan harga karet dan kelapa sawit bikin senyum petani sourcedlvritutm mediumreferrala a,prabowo janjikan harga karet kelapa sawit bikin senyum petani sourcedlvritutm mediumreferrala a,prabowo janji harga karet kelapa sawit bikin senyum tani sourcedlvritutm mediumreferrala a
79,netral,orang ini sangat dihargai oleh raja arab saudi dia pemimpin ku,orang dihargai raja arab saudi pemimpin ku,orang harga raja arab saudi pimpin ku
80,negatif,mencontoh ekonomi china bukannya sujud seperti sekarang iniy,mencontoh ekonomi china sujud iniy,contoh ekonomi china sujud iniy
81,positif,fyi gaesberbagai pencapaian telah berhasil tercapai khususnya pertumbuhan ekonomi di era pemerintahan jokowi jika sangat jauh meningkata aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,fyi gaesberbagai pencapaian berhasil tercapai pertumbuhan ekonomi era pemerintahan jokowi meningkata aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,fyi gaesberbagai capai hasil capai tumbuh ekonomi era perintah jokowi meningkata aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih
82,netral,pilihorangbaik pilihjelasislamnya pilihbajuputih kepercayaan hanya diberikan pada mereka yang berpengalaman seorang jokowi memiliki wakil yang berpengalaman dibidang ekonomi a,pilihorangbaik pilihjelasislamnya pilihbajuputih kepercayaan berpengalaman jokowi memiliki wakil berpengalaman dibidang ekonomi a,pilihorangbaik pilihjelasislamnya pilihbajuputih percaya alam jokowi milik wakil alam bidang ekonomi a
83,negatif,berapa sih gaji presiden dan wakil presiden berapa sih tunjangannya kalau kalian mengatakan tidak akan ambil sepeserpun gaji dan tunjangan baru hebat itu baru jualan kalau hanya gaji itu namanya jualan basi,sih gaji presiden wakil presiden sih tunjangannya tidak ambil sepeserpun gaji tunjangan hebat jualan gaji namanya jualan basi,sih gaji presiden wakil presiden sih tunjang tidak ambil peser gaji tunjang hebat jual gaji nama jual basi
84,positif,mungkin pak prabowo mengharap ketulusan karyawan untuk tidak menuntut gajiy,prabowo mengharap ketulusan karyawan tidak menuntut gajiy,prabowo harap tulus karyawan tidak tuntut gajiy
85,netral,jamu jokowi raja salman sajikan nasi mandhi warta ekonomi a,jamu jokowi raja salman sajikan nasi mandhi warta ekonomi a,jamu jokowi raja salman saji nasi mandhi warta ekonomi a
86,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih dulu sekadar ada pertumbuhan ekonomi tanpa pemerataan namun di zaman pak jokowi bukan hanya pertumbuhan ekonomi tapi juga pemerataan pembangunan,pilihorangbaik pilihjelasislamnya pilihbajuputih pertumbuhan ekonomi pemerataan zaman jokowi pertumbuhan ekonomi pemerataan pembangunan,pilihorangbaik pilihjelasislamnya pilihbajuputih tumbuh ekonomi perata zaman jokowi tumbuh ekonomi perata bangun
87,negatif,kami moslem kami menghormati dan menghargai umat agama lain kami cinta damai karena islam mengajarkan untuk berbuat baik kepada semua manusia tanpa terkecuali dan kamipun pendukung 02 bhineka tunggal ika uasdifitnahkejidanbrutal,moslem menghormati menghargai umat agama cinta damai islam mengajarkan berbuat manusia terkecuali kamipun pendukung 02 bhineka tunggal ika uasdifitnahkejidanbrutal,moslem hormat harga umat agama cinta damai islam ajar buat manusia kecuali kami dukung 02 bhineka tunggal ika uasdifitnahkejidanbrutal
88,positif,prabowo sandiuno tidak akan ambil gaji serupiah pun jika terpilih sebagai presiden ri benar kata alm gus dur orang yang paling ihlas untuk indonesia adalah prabowo prabowosandiokbanget prabowosanditakterbendung tutup01tusuk02 pictwittercomvmyb,prabowo sandiuno tidak ambil gaji serupiah terpilih presiden ri alm gus dur orang ihlas indonesia prabowo prabowosandiokbanget prabowosanditakterbendung tutup01tusuk02 pictwittercomvmyb,prabowo sandiuno tidak ambil gaji rupiah pilih presiden ri alm gus dur orang ihlas indonesia prabowo prabowosandiokbanget prabowosanditakterbendung tutup01tusuk02 pictwittercomvmyb
89,netral,jokowimaruf bicara pengalaman prabowosandi janji tak ambil gaji sourcefacebookutm mediumlinetodayhomeutm campaignsnsoperationa a,jokowimaruf bicara pengalaman prabowosandi janji ambil gaji sourcefacebookutm mediumlinetodayhomeutm campaignsnsoperationa a,jokowimaruf bicara alam prabowosandi janji ambil gaji sourcefacebookutm mediumlinetodayhomeutm campaignsnsoperationa a
90,netral,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pemimpin itu yang sudah jelas banyak pencapaiannya nah ini dia 5 pencapaian ekonomi selama pemerintahan jokowi,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pemimpin pencapaiannya 5 pencapaian ekonomi pemerintahan jokowi,pilihorangbaik pilihjelasislamnya pilihbajuputih pilih pimpin capai 5 capai ekonomi perintah jokowi
91,negatif,tidak perlu suudzon di samping umroh pak jokowi juga membahas kerja sama di bidang ekonomi dengan pemerintahan arab saudi tidak usah nyinyir bro urus tuh junjunganmu yang lagi ziarah kubur moga2 saja tidak nyembah kuburan,tidak suudzon samping umroh jokowi membahas kerja bidang ekonomi pemerintahan arab saudi tidak nyinyir bro urus tuh junjunganmu ziarah kubur moga2 tidak nyembah kuburan,tidak suudzon samping umroh jokowi bahas kerja bidang ekonomi perintah arab saudi tidak nyinyir bro urus tuh junjung ziarah kubur moga2 tidak nyembah kubur
92,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih pemerintah jokowi juga menyebut masa depan ekonomi indonesia di tangan anakanak muda kreatif,pilihorangbaik pilihjelasislamnya pilihbajuputih pemerintah jokowi menyebut ekonomi indonesia tangan anakanak muda kreatif,pilihorangbaik pilihjelasislamnya pilihbajuputih perintah jokowi sebut ekonomi indonesia tangan anakanak muda kreatif
93,positif,pilihorangbaik pilihjelasislamnya pilihbajuputih keberhasilan tidak hanya dibidang infrastruktur jokowi juga berhasil memperbaiki ekonomi indonesia a,pilihorangbaik pilihjelasislamnya pilihbajuputih keberhasilan tidak dibidang infrastruktur jokowi berhasil memperbaiki ekonomi indonesia a,pilihorangbaik pilihjelasislamnya pilihbajuputih hasil tidak bidang infrastruktur jokowi hasil baik ekonomi indonesia a
94,positif,jokowimaruf pemimpin indonesia pilihorangbaik pilihjelasislamnya pilihbajuputih beberapa penghargaan yang dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yang diakui integritasnya a,jokowimaruf pemimpin indonesia pilihorangbaik pilihjelasislamnya pilihbajuputih penghargaan dianugerahkan bukti jokowi sosok pemimpin diakui integritasnya a,jokowimaruf pimpin indonesia pilihorangbaik pilihjelasislamnya pilihbajuputih harga anugerah bukti jokowi sosok pimpin aku integritas a
95,negatif,mahal sekali buat satu beginian untuk hasilkan 1 mau harganya bisa lebih mahal dari satu power plant yang bisa produksi 10 mau,mahal hasilkan 1 harganya mahal power plant produksi 10,mahal hasil 1 harga mahal power plant produksi 10
96,netral,jokowi bahas ekonomi makro dan mikro ya makanan sehari2 sandiaga dari dulu itu sih fatal untuk ada et keluarlah ispot sejenis revolusi 40 sok futuristik padahal otaknya antik,jokowi bahas ekonomi makro mikro ya makanan sehari2 sandiaga sih fatal et keluarlah ispot sejenis revolusi 40 sok futuristik otaknya antik,jokowi bahas ekonomi makro mikro ya makan sehari2 sandiaga sih fatal et keluar ispot jenis revolusi 40 sok futuristik otak antik
97,negatif,prabowosandi sepakat ekonomi indonesia salah arah pictwittercomuyuisdr3ur,prabowosandi sepakat ekonomi indonesia salah arah pictwittercomuyuisdr3ur,prabowosandi sepakat ekonomi indonesia salah arah pictwittercomuyuisdr3ur
98,negatif,prabowosandi sepakat ekonomi indonesia salah arah via kedaipenacom pictwittercomfqqvzcojs4,prabowosandi sepakat ekonomi indonesia salah arah via kedaipenacom pictwittercomfqqvzcojs4,prabowosandi sepakat ekonomi indonesia salah arah via kedaipenacom pictwittercomfqqvzcojs4
99,netral,fyi gaesbeberapa penghargaan yang dianugerahkan kepadanya menjadi bukti bahwa jokowi adalah sosok pemimpin yang diakui integritasnyaa aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,fyi gaesbeberapa penghargaan dianugerahkan bukti jokowi sosok pemimpin diakui integritasnyaa aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih,fyi gaesbeberapa harga anugerah bukti jokowi sosok pimpin aku integritasnyaa aa pilihorangbaika pilihjelasislamnyaa pilihbajuputih
100,negatif,ketika wanita lain cerewat pada suaminya terimakasihistriku kamu hanya cerewet sama tukang sayur yang harganya naik jokowi,wanita cerewat suaminya terimakasihistriku cerewet tukang sayur harganya jokowi,wanita cerewat suami terimakasihistriku cerewet tukang sayur harga jokowi
101,negatif,kalau memang prabowo mau seenggaknya prepare untuk persona agamis kaya belajar ngaji gtgt yakin 10 bakal menang tapi ya counter jokowi juga dengan rekrut ma ini bikin malah tidak ketebak alurnya wkwkwk asli sudah padahal prabowo cuma perlu jadi islami saja aslinya biar menang,prabowo seenggaknya prepare persona agamis kaya belajar ngaji gtgt 10 menang ya counter jokowi rekrut ma bikin tidak ketebak alurnya wkwkwk asli prabowo islami aslinya biar menang,prabowo enggak prepare persona agam kaya ajar ngaji gtgt 10 menang ya counter jokowi rekrut ma bikin tidak tebak alur wkwkwk asli prabowo islami asli biar menang
102,netral,pilihorangbaik pilihjelasislamnya pilihbajuputih pentingnya sisi industri kreatif dan inovatif di era industri global membuat jokowi tergerak untuk mengubah badan ekonomi kreatif bekraf menjadi sebuah kementerian,pilihorangbaik pilihjelasislamnya pilihbajuputih sisi industri kreatif inovatif era industri global jokowi tergerak mengubah badan ekonomi kreatif bekraf kementerian,pilihorangbaik pilihjelasislamnya pilihbajuputih sisi industri kreatif inovatif era industri global jokowi gerak ubah badan ekonomi kreatif bekraf menteri
